exps,dataSets,attacks,budgets(%),metrics,result
2,Cora,metattack,15,class_homophily,0.643666057
2,Cora,metattack,15,adjusted_homophily,-0.87705939
2,Cora,metattack,15,balanced_homophily,0.286199634
2,Cora,metattack,20,edge_homophily,0.684135303
2,Cora,metattack,20,node_homophily,0.685310301
2,Cora,metattack,20,class_homophily,0.61346651
2,Cora,metattack,20,adjusted_homophily,-2.586771677
2,Cora,metattack,20,balanced_homophily,0.268079906
2,Cora,minmax,1,edge_homophily,0.803884594
2,Cora,minmax,1,node_homophily,0.817135139
2,Cora,minmax,1,class_homophily,0.759122931
2,Cora,minmax,1,adjusted_homophily,0.438524102
2,Cora,minmax,1,balanced_homophily,0.355473759
2,Cora,minmax,5,edge_homophily,0.78125
2,Cora,minmax,5,node_homophily,0.793375206
2,Cora,minmax,5,class_homophily,0.727389798
2,Cora,minmax,5,adjusted_homophily,0.328494331
2,Cora,minmax,5,balanced_homophily,0.336433879
2,Cora,minmax,10,edge_homophily,0.75693042
2,Cora,minmax,10,node_homophily,0.770512669
2,Cora,minmax,10,class_homophily,0.694261824
2,Cora,minmax,10,adjusted_homophily,0.23438301
2,Cora,minmax,10,balanced_homophily,0.316557094
2,Cora,minmax,15,edge_homophily,0.740007402
2,Cora,minmax,15,node_homophily,0.751855458
2,Cora,minmax,15,class_homophily,0.669924412
2,Cora,minmax,15,adjusted_homophily,0.207512254
2,Cora,minmax,15,balanced_homophily,0.301954647
2,Cora,minmax,20,edge_homophily,0.715168029
2,Cora,minmax,20,node_homophily,0.735006983
2,Cora,minmax,20,class_homophily,0.639058608
2,Cora,minmax,20,adjusted_homophily,0.059371856
2,Cora,minmax,20,balanced_homophily,0.283435165
2,Cora,nodeembeddingattack,1,edge_homophily,0.810562572
2,Cora,nodeembeddingattack,1,node_homophily,0.826151016
2,Cora,nodeembeddingattack,1,class_homophily,0.766248528
2,Cora,nodeembeddingattack,1,adjusted_homophily,0.484595718
2,Cora,nodeembeddingattack,1,balanced_homophily,0.359749117
2,Cora,nodeembeddingattack,5,edge_homophily,0.812562313
2,Cora,nodeembeddingattack,5,node_homophily,0.826490653
